ds,y
2015-01-01,0.93
2015-01-08,0.92
2015-01-15,1.02
2015-01-22,1.06
2015-01-29,0.85
2015-02-05,0.91
2015-02-12,0.96
2015-02-19,0.96
2015-02-26,0.84
2015-03-05,0.96
2015-03-12,1.06
2015-03-19,1.06
2015-03-26,1.1
2015-04-02,1.12
2015-04-09,1.06
2015-04-16,1.05
2015-04-23,1.15
2015-04-30,0.88
2015-05-07,0.93
2015-05-14,1.08
2015-05-21,1.1
2015-05-28,0.98
2015-06-04,0.98
2015-06-11,0.97
2015-06-18,1.07
2015-06-25,1.1
2015-07-02,1.12
2015-07-09,1.13
2015-07-16,1.18
2015-07-23,1.13
2015-07-30,1.16
2015-08-06,1.1
2015-08-13,1.11
2015-08-20,1.18
2015-08-27,1.08
2015-09-03,1.09
2015-09-10,1.13
2015-09-17,1.14
2015-09-24,1.04
2015-10-01,1.02
2015-10-08,1.08
2015-10-15,1.07
2015-10-22,1.12
2015-10-29,0.95
2015-11-05,0.98
2015-11-12,0.83
2015-11-19,0.92
2015-11-26,0.91
2015-12-03,0.78
2015-12-10,0.87
2015-12-17,0.94
2015-12-24,0.9
2015-12-31,0.73
2016-01-07,0.87
2016-01-14,0.9
2016-01-21,0.88
2016-01-28,0.88
2016-02-04,0.7
2016-02-11,0.82
2016-02-18,0.89
2016-02-25,0.89
2016-03-03,0.92
2016-03-10,0.96
2016-03-17,0.91
2016-03-24,0.93
2016-03-31,0.93
2016-04-07,0.94
2016-04-14,0.93
2016-04-21,0.84
2016-04-28,0.75
2016-05-05,0.79
2016-05-12,0.97
2016-05-19,0.9
2016-05-26,0.98
2016-06-02,0.94
2016-06-09,1.01
2016-06-16,1.06
2016-06-23,1.03
2016-06-30,1.1
2016-07-07,1.08
2016-07-14,1.14
2016-07-21,1.2
2016-07-28,1.22
2016-08-04,1.17
2016-08-11,1.07
2016-08-18,1.05
2016-08-25,0.99
2016-09-01,1.08
2016-09-08,1.12
2016-09-15,1.22
2016-09-22,1.15
2016-09-29,1.19
2016-10-06,1.34
2016-10-13,1.4
2016-10-20,1.39
2016-10-27,1.68
2016-11-03,1.68
2016-11-10,1.48
2016-11-17,1.32
2016-11-24,1.21
2016-12-01,0.98
2016-12-08,0.9
2016-12-15,0.95
2016-12-22,0.94
2016-12-29,0.89
2017-01-05,1.0
2017-01-12,0.93
2017-01-19,0.76
2017-01-26,0.76
2017-02-02,0.67
2017-02-09,0.79
2017-02-16,0.95
2017-02-23,0.95
2017-03-02,1.15
2017-03-09,1.31
2017-03-16,1.31
2017-03-23,1.33
2017-03-30,1.22
2017-04-06,1.13
2017-04-13,1.34
2017-04-20,1.26
2017-04-27,1.25
2017-05-04,1.08
2017-05-11,1.17
2017-05-18,1.35
2017-05-25,1.32
2017-06-01,1.2
2017-06-08,1.22
2017-06-15,1.2
2017-06-22,1.15
2017-06-29,1.28
2017-07-06,1.28
2017-07-13,1.49
2017-07-20,1.46
2017-07-27,1.38
2017-08-03,1.36
2017-08-10,1.26
2017-08-17,1.64
2017-08-24,1.78
2017-08-31,1.65
2017-09-07,1.71
2017-09-14,1.72
2017-09-21,1.74
2017-09-28,1.77
2017-10-05,1.74
2017-10-12,1.68
2017-10-19,1.53
2017-10-26,1.2
2017-11-02,1.15
2017-11-09,1.15
2017-11-16,1.26
2017-11-23,1.3
2017-11-30,1.09
2017-12-07,1.06
2017-12-14,0.98
2017-12-21,1.13
2017-12-28,0.93
2018-01-04,1.19
2018-01-11,1.27
2018-01-18,1.12
2018-01-25,1.16
2018-02-01,0.8
2018-02-08,0.98
2018-02-15,1.1
2018-02-22,1.03
2018-03-01,1.13
2018-03-08,1.11
2018-03-15,1.02
2018-03-22,1.04
