ds,y
2015-01-01,1.24
2015-01-08,1.1
2015-01-15,1.24
2015-01-22,1.3
2015-01-29,1.11
2015-02-05,1.35
2015-02-12,1.52
2015-02-19,1.41
2015-02-26,1.15
2015-03-05,1.48
2015-03-12,1.52
2015-03-19,1.3
2015-03-26,1.53
2015-04-02,1.52
2015-04-09,1.5
2015-04-16,1.52
2015-04-23,1.5
2015-04-30,1.48
2015-05-07,1.4
2015-05-14,1.49
2015-05-21,1.5
2015-05-28,1.5
2015-06-04,1.67
2015-06-11,1.68
2015-06-18,1.69
2015-06-25,1.67
2015-07-02,1.67
2015-07-09,1.8
2015-07-16,1.89
2015-07-23,1.93
2015-07-30,1.99
2015-08-06,2.03
2015-08-13,1.96
2015-08-20,1.85
2015-08-27,1.98
2015-09-03,1.99
2015-09-10,1.97
2015-09-17,1.92
2015-09-24,1.85
2015-10-01,2.0
2015-10-08,2.07
2015-10-15,2.01
2015-10-22,1.64
2015-10-29,1.6
2015-11-05,1.66
2015-11-12,1.59
2015-11-19,1.6
2015-11-26,1.75
2015-12-03,1.48
2015-12-10,1.39
2015-12-17,1.35
2015-12-24,1.45
2015-12-31,1.43
2016-01-07,1.33
2016-01-14,1.45
2016-01-21,1.36
2016-01-28,1.43
2016-02-04,1.38
2016-02-11,1.47
2016-02-18,1.43
2016-02-25,1.28
2016-03-03,1.32
2016-03-10,1.41
2016-03-17,1.46
2016-03-24,1.42
2016-03-31,1.39
2016-04-07,1.4
2016-04-14,1.39
2016-04-21,1.39
2016-04-28,1.24
2016-05-05,1.25
2016-05-12,1.5
2016-05-19,1.37
2016-05-26,1.49
2016-06-02,1.55
2016-06-09,1.5
2016-06-16,1.57
2016-06-23,1.51
2016-06-30,1.58
2016-07-07,1.51
2016-07-14,1.59
2016-07-21,1.56
2016-07-28,1.56
2016-08-04,1.48
2016-08-11,1.47
2016-08-18,1.53
2016-08-25,1.63
2016-09-01,1.65
2016-09-08,1.55
2016-09-15,1.84
2016-09-22,1.95
2016-09-29,1.91
2016-10-06,1.98
2016-10-13,2.02
2016-10-20,2.58
2016-10-27,2.49
2016-11-03,2.37
2016-11-10,2.13
2016-11-17,2.1
2016-11-24,2.04
2016-12-01,1.89
2016-12-08,1.64
2016-12-15,1.61
2016-12-22,1.53
2016-12-29,1.46
2017-01-05,1.5
2017-01-12,1.66
2017-01-19,1.53
2017-01-26,1.44
2017-02-02,1.36
2017-02-09,1.54
2017-02-16,1.5
2017-02-23,1.34
2017-03-02,1.45
2017-03-09,1.53
2017-03-16,1.57
2017-03-23,1.7
2017-03-30,1.64
2017-04-06,1.63
2017-04-13,1.67
2017-04-20,1.6
2017-04-27,1.61
2017-05-04,1.59
2017-05-11,1.76
2017-05-18,1.78
2017-05-25,1.76
2017-06-01,1.64
2017-06-08,1.79
2017-06-15,1.78
2017-06-22,1.66
2017-06-29,1.73
2017-07-06,1.62
2017-07-13,2.14
2017-07-20,2.17
2017-07-27,2.14
2017-08-03,2.18
2017-08-10,2.21
2017-08-17,2.37
2017-08-24,2.54
2017-08-31,2.09
2017-09-07,2.2
2017-09-14,2.18
2017-09-21,2.05
2017-09-28,2.08
2017-10-05,2.17
2017-10-12,2.1
2017-10-19,2.0
2017-10-26,2.01
2017-11-02,1.76
2017-11-09,1.99
2017-11-16,1.98
2017-11-23,2.0
2017-11-30,1.81
2017-12-07,1.89
2017-12-14,1.75
2017-12-21,1.82
2017-12-28,1.71
2018-01-04,1.95
2018-01-11,1.61
2018-01-18,1.69
2018-01-25,1.87
2018-02-01,1.56
2018-02-08,1.85
2018-02-15,1.97
2018-02-22,1.82
2018-03-01,1.57
2018-03-08,1.58
2018-03-15,1.75
2018-03-22,1.7
