ds,y
2015-01-01,1.88
2015-01-08,1.86
2015-01-15,1.94
2015-01-22,1.92
2015-01-29,1.78
2015-02-05,1.85
2015-02-12,1.84
2015-02-19,1.9
2015-02-26,1.85
2015-03-05,1.79
2015-03-12,1.83
2015-03-19,1.92
2015-03-26,1.95
2015-04-02,1.91
2015-04-09,1.81
2015-04-16,1.94
2015-04-23,1.96
2015-04-30,1.89
2015-05-07,1.9
2015-05-14,1.92
2015-05-21,1.97
2015-05-28,1.89
2015-06-04,2.02
2015-06-11,1.93
2015-06-18,2.12
2015-06-25,1.93
2015-07-02,2.09
2015-07-09,2.01
2015-07-16,2.07
2015-07-23,1.94
2015-07-30,2.02
2015-08-06,1.89
2015-08-13,2.11
2015-08-20,1.99
2015-08-27,2.01
2015-09-03,1.86
2015-09-10,1.97
2015-09-17,1.93
2015-09-24,2.12
2015-10-01,1.82
2015-10-08,1.69
2015-10-15,1.7
2015-10-22,1.69
2015-10-29,1.74
2015-11-05,1.63
2015-11-12,1.58
2015-11-19,1.63
2015-11-26,1.59
2015-12-03,1.53
2015-12-10,1.8
2015-12-17,1.77
2015-12-24,1.7
2015-12-31,1.54
2016-01-07,1.52
2016-01-14,1.67
2016-01-21,1.82
2016-01-28,1.73
2016-02-04,1.9
2016-02-11,1.95
2016-02-18,1.77
2016-02-25,1.8
2016-03-03,1.79
2016-03-10,1.75
2016-03-17,1.75
2016-03-24,1.85
2016-03-31,1.88
2016-04-07,1.88
2016-04-14,1.84
2016-04-21,1.9
2016-04-28,1.94
2016-05-05,1.78
2016-05-12,1.79
2016-05-19,1.81
2016-05-26,1.87
2016-06-02,1.79
2016-06-09,1.71
2016-06-16,1.9
2016-06-23,1.91
2016-06-30,1.86
2016-07-07,1.99
2016-07-14,2.07
2016-07-21,1.89
2016-07-28,1.87
2016-08-04,1.88
2016-08-11,1.85
2016-08-18,1.75
2016-08-25,1.84
2016-09-01,1.92
2016-09-08,1.95
2016-09-15,2.04
2016-09-22,1.96
2016-09-29,1.99
2016-10-06,1.91
2016-10-13,1.86
2016-10-20,1.7
2016-10-27,1.96
2016-11-03,2.07
2016-11-10,2.13
2016-11-17,1.93
2016-11-24,2.13
2016-12-01,2.0
2016-12-08,2.01
2016-12-15,1.94
2016-12-22,2.0
2016-12-29,2.0
2017-01-05,1.99
2017-01-12,1.94
2017-01-19,1.93
2017-01-26,1.93
2017-02-02,1.81
2017-02-09,1.91
2017-02-16,1.43
2017-02-23,1.82
2017-03-02,1.8
2017-03-09,2.18
2017-03-16,1.88
2017-03-23,2.1
2017-03-30,1.89
2017-04-06,2.12
2017-04-13,1.91
2017-04-20,2.09
2017-04-27,1.91
2017-05-04,2.16
2017-05-11,2.09
2017-05-18,2.15
2017-05-25,2.18
2017-06-01,2.0
2017-06-08,2.26
2017-06-15,1.98
2017-06-22,2.26
2017-06-29,2.29
2017-07-06,2.31
2017-07-13,1.66
2017-07-20,1.63
2017-07-27,1.74
2017-08-03,1.74
2017-08-10,1.85
2017-08-17,1.79
2017-08-24,1.89
2017-08-31,1.92
2017-09-07,1.85
2017-09-14,1.74
2017-09-21,1.68
2017-09-28,1.7
2017-10-05,1.64
2017-10-12,1.7
2017-10-19,1.68
2017-10-26,1.76
2017-11-02,1.82
2017-11-09,1.81
2017-11-16,1.84
2017-11-23,1.77
2017-11-30,1.67
2017-12-07,1.6
2017-12-14,1.66
2017-12-21,1.67
2017-12-28,1.66
2018-01-04,1.75
2018-01-11,1.67
2018-01-18,1.75
2018-01-25,1.56
2018-02-01,1.66
2018-02-08,1.69
2018-02-15,1.39
2018-02-22,1.63
2018-03-01,1.65
2018-03-08,1.76
2018-03-15,1.64
2018-03-22,1.58
