ds,y
2015-01-01,0.77
2015-01-08,0.8
2015-01-15,0.79
2015-01-22,0.81
2015-01-29,0.71
2015-02-05,0.73
2015-02-12,0.8
2015-02-19,0.85
2015-02-26,0.87
2015-03-05,0.8
2015-03-12,0.79
2015-03-19,0.76
2015-03-26,0.82
2015-04-02,0.83
2015-04-09,0.8
2015-04-16,0.82
2015-04-23,0.83
2015-04-30,0.78
2015-05-07,0.79
2015-05-14,0.79
2015-05-21,0.83
2015-05-28,0.74
2015-06-04,0.75
2015-06-11,0.69
2015-06-18,0.79
2015-06-25,0.77
2015-07-02,0.83
2015-07-09,0.82
2015-07-16,0.83
2015-07-23,0.81
2015-07-30,0.9
2015-08-06,0.89
2015-08-13,0.89
2015-08-20,0.89
2015-08-27,0.87
2015-09-03,0.86
2015-09-10,0.88
2015-09-17,0.83
2015-09-24,0.87
2015-10-01,0.84
2015-10-08,0.83
2015-10-15,0.87
2015-10-22,0.86
2015-10-29,0.81
2015-11-05,0.8
2015-11-12,0.76
2015-11-19,0.8
2015-11-26,0.82
2015-12-03,0.76
2015-12-10,0.78
2015-12-17,0.81
2015-12-24,0.81
2015-12-31,0.79
2016-01-07,0.84
2016-01-14,0.81
2016-01-21,0.94
2016-01-28,0.79
2016-02-04,0.7
2016-02-11,0.7
2016-02-18,0.82
2016-02-25,0.77
2016-03-03,0.78
2016-03-10,0.79
2016-03-17,0.77
2016-03-24,0.77
2016-03-31,0.74
2016-04-07,0.73
2016-04-14,0.71
2016-04-21,0.7
2016-04-28,0.71
2016-05-05,0.72
2016-05-12,0.73
2016-05-19,0.72
2016-05-26,0.8
2016-06-02,0.83
2016-06-09,0.85
2016-06-16,0.89
2016-06-23,0.89
2016-06-30,0.91
2016-07-07,0.91
2016-07-14,0.94
2016-07-21,0.97
2016-07-28,0.98
2016-08-04,0.93
2016-08-11,0.94
2016-08-18,0.87
2016-08-25,0.84
2016-09-01,0.78
2016-09-08,0.82
2016-09-15,0.86
2016-09-22,0.98
2016-09-29,1.01
2016-10-06,1.0
2016-10-13,1.03
2016-10-20,1.09
2016-10-27,1.19
2016-11-03,1.16
2016-11-10,1.11
2016-11-17,1.06
2016-11-24,0.93
2016-12-01,0.76
2016-12-08,0.76
2016-12-15,0.72
2016-12-22,0.79
2016-12-29,0.64
2017-01-05,0.74
2017-01-12,0.68
2017-01-19,0.74
2017-01-26,0.76
2017-02-02,0.62
2017-02-09,0.68
2017-02-16,0.75
2017-02-23,0.7
2017-03-02,0.87
2017-03-09,0.93
2017-03-16,0.94
2017-03-23,0.93
2017-03-30,0.84
2017-04-06,0.92
2017-04-13,0.88
2017-04-20,0.83
2017-04-27,0.86
2017-05-04,0.85
2017-05-11,0.92
2017-05-18,0.94
2017-05-25,0.96
2017-06-01,0.93
2017-06-08,0.93
2017-06-15,0.89
2017-06-22,0.92
2017-06-29,0.92
2017-07-06,0.86
2017-07-13,1.02
2017-07-20,1.05
2017-07-27,1.06
2017-08-03,1.03
2017-08-10,1.05
2017-08-17,1.06
2017-08-24,1.17
2017-08-31,1.24
2017-09-07,1.22
2017-09-14,1.27
2017-09-21,1.33
2017-09-28,1.34
2017-10-05,1.32
2017-10-12,1.3
2017-10-19,1.15
2017-10-26,1.1
2017-11-02,0.99
2017-11-09,0.95
2017-11-16,0.97
2017-11-23,0.96
2017-11-30,0.84
2017-12-07,0.8
2017-12-14,0.9
2017-12-21,1.0
2017-12-28,0.85
2018-01-04,0.9
2018-01-11,0.96
2018-01-18,0.86
2018-01-25,0.82
2018-02-01,0.65
2018-02-08,0.7
2018-02-15,0.78
2018-02-22,0.76
2018-03-01,0.79
2018-03-08,0.89
2018-03-15,0.86
2018-03-22,0.7
