ds,y
2015-01-01,0.89
2015-01-08,0.95
2015-01-15,0.96
2015-01-22,0.94
2015-01-29,0.84
2015-02-05,0.89
2015-02-12,0.98
2015-02-19,0.95
2015-02-26,0.95
2015-03-05,0.99
2015-03-12,0.94
2015-03-19,0.99
2015-03-26,0.93
2015-04-02,0.95
2015-04-09,0.98
2015-04-16,0.88
2015-04-23,0.9
2015-04-30,0.89
2015-05-07,0.94
2015-05-14,0.98
2015-05-21,0.93
2015-05-28,0.93
2015-06-04,0.92
2015-06-11,0.92
2015-06-18,0.93
2015-06-25,1.03
2015-07-02,0.98
2015-07-09,1.01
2015-07-16,1.04
2015-07-23,1.07
2015-07-30,1.02
2015-08-06,1.01
2015-08-13,0.98
2015-08-20,1.04
2015-08-27,1.03
2015-09-03,0.93
2015-09-10,0.92
2015-09-17,0.92
2015-09-24,0.97
2015-10-01,1.0
2015-10-08,0.91
2015-10-15,0.89
2015-10-22,0.95
2015-10-29,0.9
2015-11-05,0.88
2015-11-12,0.83
2015-11-19,0.92
2015-11-26,0.99
2015-12-03,0.75
2015-12-10,0.85
2015-12-17,0.88
2015-12-24,0.83
2015-12-31,0.73
2016-01-07,0.77
2016-01-14,0.81
2016-01-21,0.78
2016-01-28,0.85
2016-02-04,0.69
2016-02-11,0.78
2016-02-18,0.77
2016-02-25,0.78
2016-03-03,0.8
2016-03-10,0.81
2016-03-17,0.78
2016-03-24,0.78
2016-03-31,0.79
2016-04-07,0.79
2016-04-14,0.77
2016-04-21,0.78
2016-04-28,0.79
2016-05-05,0.75
2016-05-12,0.77
2016-05-19,0.83
2016-05-26,0.79
2016-06-02,0.82
2016-06-09,0.92
2016-06-16,0.86
2016-06-23,0.87
2016-06-30,0.97
2016-07-07,1.01
2016-07-14,1.02
2016-07-21,1.08
2016-07-28,1.1
2016-08-04,0.95
2016-08-11,1.0
2016-08-18,0.93
2016-08-25,0.96
2016-09-01,0.92
2016-09-08,0.96
2016-09-15,1.04
2016-09-22,1.08
2016-09-29,1.03
2016-10-06,1.13
2016-10-13,1.15
2016-10-20,1.17
2016-10-27,1.26
2016-11-03,1.26
2016-11-10,1.18
2016-11-17,1.1
2016-11-24,1.09
2016-12-01,0.93
2016-12-08,0.84
2016-12-15,0.88
2016-12-22,0.92
2016-12-29,0.79
2017-01-05,0.86
2017-01-12,0.85
2017-01-19,0.82
2017-01-26,0.85
2017-02-02,0.66
2017-02-09,0.76
2017-02-16,0.88
2017-02-23,0.86
2017-03-02,0.96
2017-03-09,0.94
2017-03-16,1.04
2017-03-23,1.0
2017-03-30,1.05
2017-04-06,1.0
2017-04-13,1.02
2017-04-20,0.96
2017-04-27,0.98
2017-05-04,0.94
2017-05-11,1.01
2017-05-18,1.06
2017-05-25,1.07
2017-06-01,1.07
2017-06-08,1.02
2017-06-15,1.02
2017-06-22,1.05
2017-06-29,1.07
2017-07-06,0.95
2017-07-13,1.28
2017-07-20,1.18
2017-07-27,1.25
2017-08-03,1.32
2017-08-10,1.34
2017-08-17,1.3
2017-08-24,1.31
2017-08-31,1.53
2017-09-07,1.56
2017-09-14,1.53
2017-09-21,1.59
2017-09-28,1.57
2017-10-05,1.62
2017-10-12,1.43
2017-10-19,1.31
2017-10-26,1.23
2017-11-02,1.06
2017-11-09,1.01
2017-11-16,1.04
2017-11-23,1.18
2017-11-30,0.98
2017-12-07,0.96
2017-12-14,1.05
2017-12-21,1.1
2017-12-28,0.94
2018-01-04,1.08
2018-01-11,1.05
2018-01-18,1.04
2018-01-25,1.01
2018-02-01,0.83
2018-02-08,0.93
2018-02-15,0.98
2018-02-22,0.97
2018-03-01,0.96
2018-03-08,1.0
2018-03-15,0.99
2018-03-22,0.93
